age,gender,security_no,region_category,membership_category,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score,tenure_days
18,0,XW0DQ7H,2,3,0.0,1,3,2,17.0,300.63,53005.25,17.0,781.75,1,1,0,1,4,0,136
32,0,5K0N3X1,0,4,0.0,1,1,1,16.0,306.34,12838.38,10.0,697.62,1,0,1,2,5,0,125
44,0,1F2TCL3,1,2,1.0,1,1,2,14.0,516.16,21027.0,22.0,500.69,0,1,1,3,3,1,415
37,1,VJGJ33N,0,2,1.0,1,1,1,11.0,53.27,25239.56,6.0,567.66,0,1,1,4,3,1,428
31,0,SVZXCWB,0,2,0.0,0,2,1,20.0,113.13,24483.66,16.0,663.06,0,1,1,2,3,1,22
13,1,PSG1LGF,0,1,0.0,1,3,2,23.0,433.62,13884.77,24.0,722.27,1,0,1,4,0,0,517
21,1,R3CX1EA,1,1,1.0,1,1,1,10.0,55.38,8982.5,28.0,756.21,1,0,1,3,0,0,1018
42,1,4UJ1551,3,2,0.0,0,0,0,19.0,429.11,44554.82,24.0,568.08,0,1,1,4,2,1,389
44,1,0481QNQ,2,5,0.0,2,2,0,15.0,191.07,18362.31,20.0,697.62,1,0,1,3,1,0,382
45,0,ZHP4MCR,1,2,0.0,1,3,2,10.0,97.31,19244.16,28.0,706.23,0,1,1,0,1,1,396
25,0,OKZ6GDD,2,0,1.0,1,0,2,14.0,570.23,35119.93,8.0,699.7,1,1,0,1,2,1,588
60,1,KPI9DD5,0,1,0.0,1,2,2,14.0,55.53,41672.02,33.02434314,798.12,1,0,0,1,7,0,718
11,1,G2FTZTL,1,2,0.0,0,2,0,13.0,41.09,44007.18,18.0,608.26,1,0,1,4,1,1,1065
34,1,S71G75R,0,0,1.0,1,2,0,10.0,89.76,21318.19,6.0,697.62,0,1,0,1,2,1,537
40,1,QAL9ZY2,0,4,0.0,2,3,0,20.0,100.59,14842.62,26.0,697.62,0,1,0,1,3,0,407
16,0,YTBUOEE,1,0,0.0,0,2,0,13.0,30.14,18792.31,7.0,141.5132013,1,0,1,4,7,1,115
57,0,RZ6TPTR,0,2,0.0,2,3,2,5.0,333.34,47241.32,8.0,697.62,1,1,1,3,7,1,704
11,1,3GHN9RC,1,5,1.0,1,3,2,12.0,275.13,29072.86,26.0,733.97,1,0,0,1,1,0,333
39,1,DYK6E24,1,2,0.0,0,2,0,9.0,241.74,33170.16,6.0,551.11,1,0,1,0,0,1,354
45,1,XYB1CDG,0,4,0.0,2,3,1,14.0,31.15,66982.61,8.0,164.800769,1,0,1,4,4,0,669
33,1,7L21LW8,2,2,0.0,2,1,2,15.0,49.86,44289.97,25.0,703.96,1,0,0,1,1,1,1025
30,1,B6OEP7V,2,2,1.0,1,2,1,21.0,30.37,49404.86,23.0,630.61,1,0,1,0,3,1,520
19,0,6EV1QAQ,1,3,0.0,1,3,1,15.0,483.03,52702.67,3.0,389.3564432,0,1,1,0,8,0,343
48,1,GX2SOJ5,1,0,1.0,2,2,0,12.0,72.52,15860.41,3.207385793,529.03,0,1,0,1,0,0,81
43,1,X0YDRG9,0,2,0.0,0,1,0,17.0,108.3,21725.57,21.0,225.0044276,0,1,0,1,3,1,870
29,0,5SWULVO,1,5,0.0,2,1,0,18.0,300.38,12069.06,7.0,777.31,0,1,0,1,7,0,483
10,1,3I9LEFE,0,1,1.0,0,3,2,1.0,100.65,8515.5,6.0,757.7,1,0,0,1,0,0,812
20,0,UOAPI3L,2,2,0.0,1,1,2,22.0,272.31,42743.44,12.0,687.26,1,0,0,1,2,1,506
61,0,QUU2V55,2,5,0.0,1,3,0,17.0,0.0,29156.1,10.0,710.38,1,0,1,0,0,1,231
10,1,96ZHX6P,1,1,0.0,0,3,2,4.0,127.37,15719.24,10.0,634.88,1,0,1,4,3,1,395
17,0,KX657II,0,2,0.0,2,1,0,20.0,162.93,31100.95,11.0,633.05,0,1,1,2,7,1,767
60,1,PBUM281,1,2,1.0,2,1,0,18.0,498.09,48125.94,27.0,697.62,0,1,0,1,2,1,689
11,0,ZYEBIID,3,1,1.0,2,1,2,10.0,185.53,60143.68,4.0,836.08,1,0,1,3,8,0,521
60,1,EUGPHWZ,0,1,1.0,1,0,0,11.0,537.25,1773.49,6.0,711.76,1,1,0,1,2,0,327
12,1,ZQJOXJX,0,4,0.0,0,1,2,8.0,198.26,26105.24,7.0,721.36,1,0,0,1,1,0,1062
52,1,C229QZZ,1,5,0.0,1,2,2,9.0,119.47,10101.48,28.0,158.5477645,1,0,0,1,3,1,874
30,1,U49RAKX,0,0,1.0,1,2,1,15.0,68.19,21111.9,23.0,574.01,1,1,1,3,1,1,444
26,1,06HDP63,3,2,1.0,2,1,2,3.0,215.89,41979.65,9.0,697.62,0,1,0,1,7,1,32
26,0,FRAOIDA,1,2,1.0,2,1,2,20.0,194.85,5912.06,13.0,568.34,1,0,0,1,7,1,358
49,0,M9F3TE2,2,3,1.0,0,0,0,8.0,706.36,19062.25,16.0,780.58,1,0,0,1,2,0,116
24,1,FRLCXCJ,0,4,0.0,2,1,0,15.0,210.44,35531.98,25.0,745.49,1,0,0,1,2,0,447
22,1,YNN4REK,1,2,1.0,2,3,2,4.0,0.0,8415.63,17.0,650.44,0,1,1,3,7,1,328
33,0,DE6ERGA,1,4,0.0,0,1,2,12.0,394.26,34697.85,19.0,752.3,1,0,1,0,3,0,332
17,1,EJMEVHN,0,3,0.0,1,1,2,6.0,348.07,94100.72,4.0,824.95,1,1,0,1,8,0,742
36,1,C7QZITU,2,5,1.0,1,3,1,2.0,691.09,17989.46,16.0,697.62,0,1,1,2,0,1,398
12,1,B1XF70C,0,4,0.0,2,1,1,8.0,33.09,55607.35,16.0,697.62,1,0,0,1,8,0,321
58,0,FBG1O5D,2,1,0.0,2,2,1,11.0,30.78,48080.03,10.0,713.62,1,0,0,1,2,0,111
41,1,ZQ2RGSW,1,3,0.0,2,0,0,13.0,282.87,27528.03,27.0,743.8,1,0,0,1,3,0,406
30,1,TER02YR,0,3,0.0,1,2,2,20.0,100.42,86433.91,16.0,719.93,0,1,1,4,6,0,780
50,1,HXIGRU3,0,4,0.0,0,1,2,18.0,154.7,24197.4,29.0,697.62,0,1,1,2,7,0,798
23,1,UAAYTIM,2,1,1.0,2,3,2,10.0,65.25,5136.08,16.0,755.22,0,1,0,1,1,0,801
38,1,B2MID6G,1,1,0.0,1,2,1,8.0,324.75,28535.13,27.0,770.31,1,1,1,2,1,0,77
20,1,PC7X217,0,5,1.0,2,1,0,16.0,237.39,25000.09,16.0,704.4,0,1,0,1,3,1,1069
35,0,EER61FP,2,1,0.0,0,2,0,20.0,148.24,30984.56,11.0,729.04,1,0,0,1,1,0,427
43,1,KJLXRJ7,1,4,1.0,2,0,2,16.0,773.83,9091.94,20.0,700.4,0,1,0,1,2,0,249
32,1,C0LKXD6,0,5,1.0,2,3,0,13.0,117.68,19822.82,43.3600415,697.62,1,0,0,1,7,0,160
40,0,KA10KAJ,1,3,0.0,1,2,0,18.0,251.06,63416.63,12.0,1087.184702,0,1,1,3,4,0,862
40,0,1C5WWL9,1,5,1.0,0,2,2,13.0,46.57,24045.93,8.0,709.73,0,1,0,1,2,0,132
48,0,LLPKTT3,1,2,0.0,0,2,2,12.0,539.49,49270.76,12.0,503.95,1,0,0,1,7,1,289
35,1,MVC3XG0,1,4,0.0,1,2,1,12.0,34.48,48679.07,6.0,779.59,1,0,0,1,2,0,787
28,1,X54XOQB,2,1,1.0,1,2,0,9.0,0.0,13131.05,13.0,820.91,1,1,0,1,5,0,228
44,0,YN0D4XB,3,2,1.0,2,0,2,13.0,283.49,7603.71,16.0,553.45,1,1,1,4,0,1,495
40,1,EY34UCV,1,4,0.0,1,1,0,3.0,33.82,39735.58,25.0,784.32,1,0,1,0,7,0,334
18,0,WGKRXHK,0,0,1.0,0,2,1,20.0,156.06,4783.23,28.75639925,597.87,1,0,1,0,7,0,562
10,1,PXDXAK3,3,0,0.0,0,2,0,12.0,31.67,25436.23,16.0,656.67,0,1,0,1,3,1,878
35,1,U2S0ZMS,1,2,1.0,2,2,1,4.0,157.03,22975.33,18.0,548.1,0,1,0,1,3,1,34
43,1,11SAVWA,1,2,0.0,0,3,1,11.0,227.23,29602.15,24.0,663.63,0,1,1,4,2,1,941
28,1,DL6BE96,2,0,0.0,1,1,1,4.0,457.33,20883.28,14.0,0.0,0,1,0,1,7,1,63
53,1,UZELBS2,1,3,0.0,2,3,0,6.0,228.02,46353.54,19.0,302.0058985,1,0,1,0,0,0,338
55,0,BTESGNH,1,4,0.0,0,2,1,18.0,42.77,8996.95,16.0,749.56,1,0,1,4,3,0,297
59,0,A3SG5HG,1,2,1.0,1,1,0,13.0,207.52,12556.28,10.0,0.0,0,1,0,1,0,1,147
39,1,BFC2STE,0,2,0.0,1,1,1,13.0,98.57,2645.63,23.0,674.42,0,1,0,1,2,1,719
11,1,K9534WF,0,1,0.0,0,3,2,23.0,176.31,8983.02,25.0,707.46,0,1,1,2,2,1,557
37,1,VORACOL,2,2,0.0,2,0,1,17.0,687.16,29101.96,18.0,713.82,1,1,0,1,1,1,593
53,1,G64J9NC,0,2,0.0,0,1,2,13.0,253.96,19233.1,25.0,1032.199126,1,0,1,2,3,1,210
57,1,7JC7H9M,1,2,0.0,2,1,0,13.0,119.1,44341.82,16.0,563.92,1,0,1,0,1,1,699
47,1,YIF4UTM,1,5,0.0,2,3,2,10.0,131.86,26399.43,17.0,757.01,0,1,1,3,1,0,893
50,1,148CAFB,1,1,1.0,0,1,2,19.0,65.39,17054.69,21.0,353.3690015,0,1,1,2,0,0,1075
49,0,IJ500YB,0,5,1.0,1,3,2,3.0,74.9,41612.23,28.0,1196.569315,0,1,1,3,0,1,493
54,1,XR0FV22,1,5,0.0,0,2,1,20.0,0.0,42060.89,24.0,684.69,1,0,1,0,3,1,193
30,1,U545PNM,2,1,0.0,2,1,0,9.0,97.74,32347.7,27.0,697.62,0,1,0,1,1,0,470
25,0,RAVGVDP,0,5,0.0,2,3,1,13.0,135.21,3561.26,17.0,697.62,1,0,1,2,7,0,864
53,0,VDCZUD5,0,4,0.0,1,1,2,18.0,172.99,9044.15,8.0,763.14,1,0,1,3,4,0,1061
54,1,KUJNEI7,3,0,1.0,0,2,0,13.0,254.72,11345.66,7.0,572.41,0,1,1,3,2,1,907
62,0,UHDKJ4T,0,2,0.0,2,0,0,5.0,304.52,47658.52,29.0,699.19,0,1,1,2,7,1,444
55,1,E1EYCEB,0,3,1.0,0,0,1,1.0,1316.52,2367.56,25.0,441.8365499,1,0,0,1,0,0,992
30,0,D489TNE,3,2,0.0,0,1,2,13.0,264.54,40756.7,26.0,628.31,1,0,0,1,7,1,48
30,1,26RJY6I,0,5,0.0,0,2,0,12.0,191.41,25575.44,16.0,648.68,0,1,1,3,1,1,300
51,1,0LS5PB4,1,4,1.0,2,1,2,13.0,135.09,48819.9,8.0,697.62,1,0,1,3,1,0,811
29,1,FKA8V9P,2,5,1.0,1,2,0,12.0,123.37,13032.52,6.0,697.62,1,0,0,1,0,1,173
16,1,S6B5HER,0,5,0.0,1,1,0,9.0,355.31,20457.22,5.0,1233.769727,1,1,1,3,2,0,203
25,0,IHGGCOB,2,1,1.0,2,2,1,11.0,31.88,35414.54,20.0,788.67,0,1,0,1,0,0,227
62,0,8EC483J,0,0,0.0,0,2,2,14.0,125.0,38802.24,28.0,697.62,0,1,1,4,0,1,207
24,0,7VI8S2N,1,4,1.0,2,1,0,5.0,181.34,43554.96,1.0,728.69,1,0,1,3,4,0,124
48,1,0FXRTQ3,0,2,1.0,3,1,1,8.0,960.62,13954.02,17.0,631.15,0,1,1,2,1,1,1010
56,1,CFXGFEO,2,0,1.0,0,1,2,24.0,48.59,28071.04,16.0,533.05,0,1,1,2,3,1,131
17,1,Y2PJ70L,3,0,1.0,0,1,2,12.0,30.12,15027.14,12.0,697.62,0,1,0,1,0,1,368
23,0,JAWMYHN,1,1,1.0,2,1,2,21.0,727.69,4919.72,13.0,758.83,1,1,0,1,7,0,632
42,0,V8LT71V,0,2,0.0,1,0,0,3.0,419.51,14661.42,16.0,404.4897584,0,1,1,3,0,1,556
59,1,OOEQJ9E,2,1,1.0,2,0,1,8.0,899.04,49614.88,23.0,758.69,1,0,0,1,3,0,1087
18,1,WXJCO6L,1,0,0.0,0,1,1,11.0,293.42,2521.3,16.0,964.8409708,1,0,1,0,1,1,740
23,1,XDANU0N,0,1,1.0,0,1,2,10.0,934.3542198,11955.94,24.0,630.8,0,1,1,4,1,1,924
52,0,0B93V8I,0,0,1.0,0,2,1,4.0,826.51,14877.24,25.0,522.61,1,0,0,1,1,1,48
49,0,80X3LBS,1,4,1.0,1,1,1,21.0,115.41,41156.81,27.0,741.02,0,1,0,1,1,0,691
30,1,WX9FMKD,3,4,0.0,1,3,2,7.0,481.45,4207.45,28.0,776.36,1,1,0,1,1,0,231
31,0,FXTLHJO,1,0,0.0,1,1,1,14.0,148.95,2364.45,16.0,634.51,0,1,0,1,7,1,500
27,1,1Q644S2,0,5,0.0,0,2,1,21.0,357.45,29825.45,9.0,665.63,0,1,1,2,3,1,434
56,1,DEN5T45,0,1,0.0,2,1,0,21.0,1386.232857,9454.17,19.0,778.27,1,0,0,1,7,0,616
11,1,HO7SVW2,3,5,0.0,0,1,0,15.0,96.14,11995.93,19.0,207.169769,1,0,0,1,1,1,494
31,0,8AWVLE2,1,5,0.0,0,0,2,10.0,428.05,6325.08,28.0,80.09369313,0,1,0,1,2,1,262
29,1,VLT3N4A,1,4,0.0,1,1,2,14.0,42.48,16098.94,21.0,766.85,1,0,1,2,3,0,544
31,0,W20NHNO,0,5,1.0,2,2,2,24.0,33.91,23226.43,7.0,762.48,0,1,1,2,1,0,620
11,0,PB5J0JP,1,0,0.0,1,1,1,8.0,1060.527979,10990.31,16.0,271.7143813,1,0,0,1,2,1,820
14,1,0ISW03K,1,0,0.0,0,1,1,13.0,1156.431904,32302.27,24.0,520.33,0,1,0,1,1,1,165
26,1,ELWT1XG,0,5,1.0,1,2,1,7.0,187.91,17002.23,11.0,700.11,0,1,0,1,7,0,47
62,1,TS6F948,3,4,0.0,0,1,1,10.0,284.09,48305.86,16.0,730.05,0,1,0,1,3,0,486
51,1,LOSAGM2,2,3,0.0,2,1,0,3.0,0.0,40667.27,19.0,809.83,1,0,0,1,6,0,100
43,0,DTMKCNR,2,5,1.0,0,2,0,20.0,0.0,16186.76,8.0,633.22,1,0,0,1,1,1,384
23,1,ZS5JITE,1,1,0.0,1,1,0,12.0,109.76,46102.66,8.0,783.03,1,0,0,1,2,0,654
57,1,CZKAGUY,1,1,1.0,1,1,2,13.0,56.63,10171.97,23.0,757.61,1,0,1,3,0,0,854
17,1,F0CC3JK,3,1,1.0,1,2,2,21.0,81.15,46109.6,17.0,270.467656,1,0,0,1,0,1,751
42,1,MWN21KT,0,3,1.0,0,2,2,10.0,1195.732666,31504.62,10.0,1207.253729,1,0,0,1,1,0,878
21,0,CUNJTNM,0,5,0.0,0,3,1,7.0,99.95,22865.42,21.0,697.62,0,1,0,1,0,0,423
46,1,0PSMM0P,2,2,1.0,0,2,0,21.0,287.39,44809.68,27.0,629.6,0,1,0,1,2,1,290
41,1,P11WJYU,3,5,1.0,1,1,0,13.0,892.02,36394.44,26.0,630.98,1,1,1,4,3,1,401
61,1,YL8KDU2,0,0,0.0,1,2,1,7.0,115.29,13019.31,14.0,164.0703482,1,0,1,3,2,1,214
15,0,JD1FCAD,0,4,0.0,1,1,0,5.0,185.05,43833.54,15.0,743.57,0,1,0,1,2,0,998
56,1,CX2RD4O,3,1,1.0,0,1,1,16.0,30.16,33886.44,5.0,670.11,0,1,0,1,1,1,511
35,1,OFQV4L9,0,1,0.0,2,0,0,17.0,219.13,70247.76,3.0,1293.169381,1,1,0,1,8,0,1011
57,1,J1ERM77,1,2,1.0,0,2,2,8.0,400.35,30248.45,9.0,660.25,0,1,1,4,1,1,1083
64,1,T8VRII9,1,2,0.0,0,1,2,20.0,49.24,39981.97,12.0,648.6,1,0,1,2,7,1,1021
21,1,5B2CFVS,1,0,1.0,0,2,1,16.0,590.85,21919.13,14.0,610.24,1,0,1,2,2,1,306
53,0,5MTFUGX,1,1,0.0,0,2,2,22.0,1142.148835,34918.7,6.0,699.08,1,0,1,3,3,1,338
26,1,R59QOZQ,2,2,1.0,0,1,1,16.0,138.33,8025.77,29.0,1016.785713,1,0,0,1,1,1,188
61,1,B64YF5C,1,1,1.0,0,2,1,7.0,516.46,45544.33,29.0,780.96,0,1,1,4,7,0,517
30,1,P5QCZFI,1,2,0.0,2,1,0,19.0,211.19,2554.48,10.0,622.45,1,1,1,2,3,1,978
38,1,L087S2R,1,1,1.0,1,1,0,19.0,942.84,49037.16,6.0,697.62,0,1,0,1,0,0,871
35,0,LO2YYBQ,0,1,0.0,2,2,0,10.0,267.45,32922.76,8.0,701.45,0,1,0,1,0,1,921
61,0,863177F,3,2,1.0,1,1,2,22.0,34.37,3862.41,10.0,602.86,0,1,0,1,7,1,167
53,1,O7ATCTM,0,1,0.0,0,1,1,19.0,213.34,8860.9,6.0,671.74,1,0,1,2,3,1,240
55,1,ZW66T5M,1,2,0.0,0,3,2,23.0,50.48,8944.54,25.0,626.96,1,0,1,4,1,1,35
23,1,8IEHQ76,0,0,1.0,0,2,2,13.0,1044.243494,26060.01,22.0,684.88,1,0,1,2,3,1,701
11,1,KYOLWFX,1,4,1.0,1,0,1,13.0,628.79,33199.52,22.0,777.94,1,0,1,0,1,0,983
22,1,6RZ86VW,1,2,0.0,1,3,1,17.0,56.58,41050.72,15.0,697.62,1,0,1,2,3,1,174
37,1,DS0I1ZT,2,5,1.0,1,2,0,11.0,172.07,23587.32,28.0,326.1310709,1,0,0,1,3,1,1004
31,1,7YMU3HJ,3,3,0.0,0,1,2,6.0,44.99,3087.16,8.0,750.95,1,0,0,1,0,0,656
20,1,2Y95NFP,0,3,0.0,1,2,1,11.0,144.33,54420.14,5.0,697.62,0,1,0,1,8,0,374
53,1,MQXM7MW,0,4,1.0,2,0,0,7.0,787.74,20129.88,12.0,697.62,1,0,1,3,5,0,325
38,0,HZZ26WT,0,0,0.0,1,3,0,26.0,30.49,37139.89,20.0,627.26,1,0,0,1,1,1,221
59,0,YOLS46C,0,0,0.0,2,0,2,8.0,400.21,33996.1,38.47159929,697.6,1,1,0,1,2,1,487
50,0,ZO5BVM3,1,1,1.0,0,2,0,13.0,103.36,39610.89,10.0,653.12,1,0,1,2,1,1,674
64,0,P7KUU1A,0,5,0.0,0,2,1,8.0,58.15,27995.24,18.0,697.62,1,0,0,1,2,0,1007
27,0,V73DPK8,1,1,1.0,0,2,2,10.0,862.2,35895.98,21.0,697.62,0,1,0,1,0,1,279
12,0,UBUMA9S,1,1,0.0,2,1,2,9.0,412.22,1313.11,18.0,733.13,1,1,0,1,4,0,174
29,0,4H6GWTF,2,4,1.0,1,2,2,19.0,222.69,18297.21,2.0,774.47,0,1,1,0,4,0,639
39,0,HHJDXST,0,5,0.0,1,2,2,16.0,283.85,3888.65,18.0,959.92041,1,0,0,1,4,0,460
37,0,FETPOEF,0,4,0.0,0,1,0,17.0,136.19,6965.48,5.0,1181.873763,1,0,0,1,7,0,224
37,0,C6JR6MZ,1,1,0.0,1,2,2,5.0,32.29,63097.55,0.0,780.09,0,1,0,1,8,0,485
21,1,37UOC7C,1,5,0.0,1,1,2,12.0,145.45,48500.63,11.0,727.97,0,1,1,2,1,0,1089
64,0,HSKJR4V,1,0,0.0,0,2,0,10.0,313.84,23211.35,15.0,573.16,1,0,0,1,2,1,96
56,0,ZUA3VGF,1,5,0.0,2,2,2,11.0,254.72,28425.26,11.0,789.3,1,1,0,1,0,0,669
37,0,4WL24BT,1,0,0.0,1,1,0,9.0,206.56,13037.39,13.0,616.68,1,0,1,3,7,1,528
