customer_id,recency,tenure_days,frequency,monetary,churn,source
CUST1000,911,1686,37,391.04999999999995,0,Labeled
CUST1001,1351,1766,35,512.16,0,Labeled
CUST1002,716,802,44,1208.28,1,Labeled
CUST1003,547,752,1,338.64,1,Labeled
CUST1004,340,1715,35,438.62,0,Labeled
CUST1005,7,827,16,1772.88,0,Labeled
CUST1006,36,863,7,702.96,0,Labeled
CUST1007,232,1136,34,47.800000000000004,0,Labeled
CUST1008,237,1578,32,1525.8,1,Labeled
CUST1009,264,1350,6,1348.96,0,Labeled
CUST1010,1114,1781,38,1218.3000000000002,0,Labeled
CUST1011,161,1285,24,940.17,0,Labeled
CUST1012,947,1704,36,1519.11,0,Labeled
CUST1013,254,1643,5,1894.16,0,Labeled
CUST1014,118,1635,20,781.92,0,Labeled
CUST1015,644,1328,27,1001.97,1,Labeled
CUST1016,18,1506,31,1875.08,0,Labeled
CUST1017,381,1436,18,1267.44,1,Labeled
CUST1018,223,818,14,1702.39,1,Labeled
CUST1019,7,1071,41,1596.64,1,Labeled
CUST1020,575,1256,2,1452.18,0,Labeled
CUST1021,1157,1660,9,355.46000000000004,1,Labeled
CUST1022,1111,1168,39,539.22,0,Labeled
CUST1023,70,1569,16,418.72,0,Labeled
CUST1024,934,1224,20,698.01,0,Labeled
CUST1025,1168,1382,40,714.4499999999999,1,Labeled
CUST1026,107,828,28,312.83,1,Labeled
CUST1027,1272,1611,42,975.1000000000001,1,Labeled
CUST1028,139,1540,45,1197.2,0,Labeled
CUST1029,516,1824,14,942.5999999999999,1,Labeled
CUST1030,1541,1584,24,1642.77,0,Labeled
CUST1031,760,1462,9,31.95,1,Labeled
CUST1032,1485,1653,26,1609.54,1,Labeled
CUST1033,1060,1244,29,1661.9,0,Labeled
CUST1034,120,1636,12,1292.65,0,Labeled
CUST1035,636,1501,24,254.73000000000002,0,Labeled
CUST1036,584,748,13,554.3299999999999,1,Labeled
CUST1037,827,879,48,376.24,0,Labeled
CUST1038,783,1280,11,1572.96,1,Labeled
CUST1039,250,990,47,123.30000000000001,0,Labeled
CUST1040,14,835,45,1016.15,0,Labeled
CUST1041,145,1128,5,455.48999999999995,0,Labeled
CUST1042,158,820,36,1954.64,1,Labeled
CUST1043,449,851,45,132.86,0,Labeled
CUST1044,618,1258,48,1963.6799999999998,1,Labeled
CUST1045,1186,1724,6,1670.8500000000001,0,Labeled
CUST1046,218,883,37,1098.75,0,Labeled
CUST1047,1138,1499,23,1561.3500000000001,0,Labeled
CUST1048,124,863,35,599.52,1,Labeled
CUST1049,228,1160,30,1487.43,0,Labeled
CUST1050,370,1817,37,1780.96,1,Labeled
CUST1051,769,989,14,90.34,0,Labeled
CUST1052,84,1806,4,1095.6,0,Labeled
CUST1053,1465,1780,8,969.1200000000001,1,Labeled
CUST1054,481,840,1,312.0,1,Labeled
CUST1055,1112,1229,23,754.8,1,Labeled
CUST1056,601,736,17,944.08,0,Labeled
CUST1057,190,905,1,174.8,0,Labeled
CUST1058,825,1581,18,1476.1000000000001,0,Labeled
CUST1059,718,1816,13,1811.3,1,Labeled
CUST1060,1429,1465,42,1720.38,1,Labeled
CUST1061,588,1330,2,312.12,0,Labeled
CUST1062,565,1441,13,1483.88,1,Labeled
CUST1063,1259,1728,9,1683.9,0,Labeled
CUST1064,929,1139,16,1795.65,1,Labeled
CUST1065,69,1738,7,1378.68,1,Labeled
CUST1066,497,769,9,969.3000000000001,1,Labeled
CUST1067,294,1426,39,541.89,0,Labeled
CUST1068,343,816,40,1217.67,0,Labeled
CUST1069,52,1303,33,1572.6000000000001,0,Labeled
CUST1070,245,753,25,1398.3899999999999,0,Labeled
CUST1071,537,1411,13,1095.48,0,Labeled
CUST1072,1602,1710,28,120.39999999999999,0,Labeled
CUST1073,1035,1388,13,837.35,1,Labeled
CUST1074,91,1462,27,266.15999999999997,0,Labeled
CUST1075,547,1096,32,788.5,1,Labeled
CUST1076,1110,1570,19,1467.0,1,Labeled
CUST1077,255,1495,47,1519.11,1,Labeled
CUST1078,600,1592,44,1282.08,1,Labeled
CUST1079,91,1780,21,1078.0,0,Labeled
CUST1080,680,1387,4,834.12,0,Labeled
CUST1081,611,781,8,341.04999999999995,0,Labeled
CUST1082,1277,1427,20,788.41,0,Labeled
CUST1083,651,1417,16,1616.16,0,Labeled
CUST1084,116,1357,1,1032.49,0,Labeled
CUST1085,632,1599,7,506.14,0,Labeled
CUST1086,425,1678,3,1515.28,0,Labeled
CUST1087,792,1233,45,1495.51,1,Labeled
CUST1088,1016,1404,38,769.4,1,Labeled
CUST1089,713,1453,29,1538.3999999999999,0,Labeled
CUST1090,743,775,14,1158.8,0,Labeled
CUST1091,786,1635,8,135.0,0,Labeled
CUST1092,1186,1437,28,839.49,0,Labeled
CUST1093,418,814,30,1451.45,1,Labeled
CUST1094,238,1133,38,1555.56,0,Labeled
CUST1095,282,1035,40,796.25,1,Labeled
CUST1096,1401,1647,30,187.23,0,Labeled
CUST1097,1003,1603,26,538.65,0,Labeled
CUST1098,1109,1435,40,1113.14,1,Labeled
