security_no,segment,suggested_action,churn_probability
XW0DQ7H,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
5K0N3X1,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.02
1F2TCL3,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.95
VJGJ33N,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
SVZXCWB,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.95
PSG1LGF,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.05
R3CX1EA,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.09
4UJ1551,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
0481QNQ,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.22
ZHP4MCR,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.95
OKZ6GDD,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.95
KPI9DD5,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.03
G2FTZTL,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
S71G75R,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
QAL9ZY2,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.02
YTBUOEE,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
RZ6TPTR,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.9
3GHN9RC,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
DYK6E24,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
XYB1CDG,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.0
7L21LW8,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.95
B6OEP7V,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
6EV1QAQ,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.0
GX2SOJ5,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
