age,gender,security_no,region_category,membership_category,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score,tenure_days,value_segment,engagement_segment,price_sensitivity,support_risk,profile_tags,churn_probability,segment,prob_Histo,prob_RF,customer_id,top_drivers,last_purchase_days,lifetime_value,avg_order_value,category_affinity,support_tickets
59,0,NK8DB3U,0,0,0.0,2,3,2,13.0,0.0,30499.39,14.0,703.98,1,0,0,1,7,1,1,medium,medium,normal,0,value_medium;engagement_medium,0.9902387404586039,VIP-At-Risk,0.0005293965730888207,0.0,NK8DB3U,high loyalty points; high average order value; short tenure,13.0,30499.39,30499.39,2,0
52,1,YN8ZX7A,3,0,1.0,1,3,0,16.0,127.51,27490.93,16.0,665.35,1,0,1,3,7,1,0,medium,low,normal,1,value_medium;engagement_low;support_risk,0.9894151837640413,Standard-At-Risk,0.0019326633740649308,0.0,YN8ZX7A,low loyalty points; low average order value; short tenure,16.0,0.0,27490.93,1,1
64,1,W6D4LHA,1,2,1.0,1,0,2,13.0,0.0,14047.78,19.0,613.91,1,0,0,1,7,1,2,low,medium,high,0,value_low;engagement_medium;price_sensitive,0.9889709188419012,Standard-At-Risk,0.9404781404852757,0.97,W6D4LHA,low loyalty points; low average order value; short tenure,13.0,28095.56,14047.78,1,0
36,0,4XMZGUM,3,2,1.0,0,1,2,8.0,100.36,21016.76,17.0,697.62,0,1,0,1,7,1,1,medium,high,high,0,value_medium;engagement_high;price_sensitive,0.9886959092917328,Standard-At-Risk,0.9695077373020728,0.99,4XMZGUM,low loyalty points; low average order value; short tenure,8.0,21016.76,21016.76,0,0
23,1,2W6QNJE,0,0,1.0,2,1,1,18.0,47.88,32437.61,7.0,612.07,1,0,1,0,0,1,452,medium,low,normal,1,value_medium;engagement_low;support_risk,0.9885234699107829,Standard-At-Risk,0.9719548750860736,0.95,2W6QNJE,low loyalty points; high average order value; short tenure,18.0,14661799.72,32437.61,2,1
41,0,YBFSWXJ,1,2,1.0,2,3,1,11.0,41.97,47717.12,25.0,868.214275,0,1,1,4,2,1,1045,high,medium,high,1,value_high;engagement_medium;price_sensitive;support_risk,0.988388542923946,VIP-At-Risk,0.020767758414121505,0.08,YBFSWXJ,high loyalty points; high average order value; long tenure,11.0,49864390.400000006,47717.12,2,1
45,1,YG4KTEH,1,2,1.0,2,2,2,7.0,922.19,36127.8,47.61306649,627.56,1,0,1,0,2,1,256,high,high,normal,1,value_high;engagement_high;support_risk,0.988194880412783,Standard-At-Risk,0.010962741949155629,0.08,YG4KTEH,low loyalty points; high average order value; short tenure,7.0,9248716.8,36127.8,2,1
54,1,JO6QG54,1,2,0.0,2,3,1,24.0,163.72,42815.56,16.0,915.1286916,0,1,1,4,3,1,987,high,low,high,1,value_high;engagement_low;price_sensitive;support_risk,0.9881835786470647,VIP-At-Risk,0.9625261612336651,0.95,JO6QG54,high loyalty points; high average order value; long tenure,24.0,42258957.72,42815.56,2,1
15,1,W7EEJUC,0,0,1.0,0,1,1,14.0,31.42,28469.09,5.0,613.69,1,0,0,1,7,1,4,medium,medium,normal,0,value_medium;engagement_medium,0.9881469545330178,Standard-At-Risk,0.4874501346141108,0.23,W7EEJUC,low loyalty points; high average order value; short tenure,14.0,113876.36,28469.09,0,0
17,0,3UVF5Q2,0,2,0.0,2,2,1,3.0,86.45,41217.05,26.0,620.19,0,1,1,0,7,1,419,high,high,high,1,value_high;engagement_high;price_sensitive;support_risk,0.9881284033648741,Standard-At-Risk,0.965415982610362,0.91,3UVF5Q2,low loyalty points; high average order value; short tenure,3.0,17269943.950000003,41217.05,2,1
33,0,GL8FRF3,3,2,0.0,2,1,0,12.0,31.81,48305.46,6.0,664.46,1,0,1,0,7,1,384,high,medium,normal,1,value_high;engagement_medium;support_risk,0.9880324644862453,Standard-At-Risk,0.9610750063571379,0.95,GL8FRF3,low loyalty points; high average order value; short tenure,12.0,18549296.64,48305.46,2,1
51,1,O8LW1S7,2,0,0.0,2,2,0,1.0,413.51,44549.63,22.0,703.8,0,1,1,0,0,1,211,high,high,high,1,value_high;engagement_high;price_sensitive;support_risk,0.9878973392500383,VIP-At-Risk,0.012629777207616393,0.06,O8LW1S7,high loyalty points; high average order value; short tenure,1.0,9399971.93,44549.63,2,1
21,0,1KBSCKU,3,2,0.0,2,3,1,12.0,241.5,13986.35,15.0,699.82,0,1,1,0,2,1,202,low,medium,high,1,value_low;engagement_medium;price_sensitive;support_risk,0.9878743331012323,VIP-At-Risk,0.9688420059116676,0.96,1KBSCKU,high loyalty points; low average order value; short tenure,12.0,2825242.7,13986.35,2,1
58,0,F369MI2,0,2,1.0,2,0,1,16.0,213.66,2125.12,25.0,697.62,1,1,1,0,3,1,226,low,low,high,1,value_low;engagement_low;price_sensitive;support_risk,0.9878440038992137,Standard-At-Risk,0.9729109480234294,0.95,F369MI2,low loyalty points; low average order value; short tenure,16.0,480277.12,2125.12,2,1
64,0,BIDN475,2,2,0.0,0,3,0,16.0,747.56,24848.89,12.0,716.28,1,1,1,0,7,1,691,medium,low,high,1,value_medium;engagement_low;price_sensitive;support_risk,0.9876644721672072,VIP-At-Risk,0.007440679754267554,0.0,BIDN475,high loyalty points; low average order value; long tenure,16.0,17170582.99,24848.89,0,1
45,1,DM2W8MJ,1,0,1.0,0,1,1,10.0,914.02,12783.97,53.87618817,48.75902415,1,0,1,4,7,1,96,low,high,high,1,value_low;engagement_high;price_sensitive;support_risk,0.987495184879955,Standard-At-Risk,0.9733757446257728,0.95,DM2W8MJ,low loyalty points; low average order value; short tenure,10.0,1227261.1199999999,12783.97,0,1
19,1,KNFW8M6,0,2,0.0,2,1,2,3.0,31.62,21480.89,11.0,617.83,1,0,1,0,1,1,190,medium,high,normal,1,value_medium;engagement_high;support_risk,0.9873386618252248,Standard-At-Risk,0.9688386363902023,0.95,KNFW8M6,low loyalty points; low average order value; short tenure,3.0,4081369.1,21480.89,2,1
32,1,T47JBRX,1,2,0.0,2,3,0,12.0,40.66,29841.11,17.0,576.27,1,0,1,0,7,1,182,medium,medium,normal,1,value_medium;engagement_medium;support_risk,0.9873090558553316,Standard-At-Risk,0.00926218311144298,0.03,T47JBRX,low loyalty points; high average order value; short tenure,12.0,5431082.0200000005,29841.11,2,1
64,1,XPIVR32,0,0,1.0,2,2,1,18.0,32.31,41458.27,16.0,617.83,0,1,0,1,7,1,0,high,low,high,0,value_high;engagement_low;price_sensitive,0.987268253196854,Standard-At-Risk,0.9571654228282215,0.96,XPIVR32,low loyalty points; high average order value; short tenure,18.0,0.0,41458.27,2,0
41,1,MUID76L,0,2,0.0,0,1,0,6.0,837.65,39455.6,30.98960266,873.0149041,1,0,1,2,1,1,303,high,high,normal,1,value_high;engagement_high;support_risk,0.9871680336265182,VIP-At-Risk,0.00048266439808887117,0.0,MUID76L,high loyalty points; high average order value; short tenure,6.0,11955046.799999999,39455.6,0,1
64,1,KYFM49G,3,0,1.0,2,2,2,9.0,386.15,28697.7,9.0,555.77,1,0,1,0,2,1,132,medium,high,normal,1,value_medium;engagement_high;support_risk,0.9871589492800148,Standard-At-Risk,0.9555873637686401,0.91,KYFM49G,low loyalty points; high average order value; short tenure,9.0,3788096.4,28697.7,2,1
31,1,Z74UFHR,0,2,1.0,1,3,2,2.0,839.5384485,15145.59,28.0,632.63,0,1,0,1,7,1,481,low,high,high,0,value_low;engagement_high;price_sensitive,0.987144638475313,Standard-At-Risk,0.9666029764016733,0.97,Z74UFHR,low loyalty points; low average order value; short tenure,2.0,7285028.79,15145.59,1,0
54,0,QUVDY83,1,0,1.0,2,2,0,15.0,133.58,17521.54,14.0,644.7207536,1,0,0,1,7,1,1,low,low,high,0,value_low;engagement_low;price_sensitive,0.987142913419984,Standard-At-Risk,0.0004152575199017854,0.01,QUVDY83,low loyalty points; low average order value; short tenure,15.0,17521.54,17521.54,2,0
15,1,0KZPH40,1,0,0.0,2,2,2,1.0,245.2,33274.52,16.0,900.5834122,1,1,1,0,2,1,477,medium,high,high,1,value_medium;engagement_high;price_sensitive;support_risk,0.987116535636091,VIP-At-Risk,0.9700436394108943,0.87,0KZPH40,high loyalty points; high average order value; short tenure,1.0,15871946.04,33274.52,2,1
49,0,384HOGO,1,2,0.0,0,1,0,15.0,183.35,15334.73,29.0,710.81,0,1,0,1,7,1,908,low,low,high,0,value_low;engagement_low;price_sensitive,0.9870785548374438,VIP-At-Risk,0.9595405764980972,0.95,384HOGO,high loyalty points; low average order value; long tenure,15.0,13923934.84,15334.73,0,0
44,1,SCPWSAL,1,0,1.0,0,0,0,11.0,268.43,1407.8,11.0,575.49,1,1,0,1,7,1,0,low,medium,high,0,value_low;engagement_medium;price_sensitive,0.9870467236121916,Standard-At-Risk,0.012260949773237786,0.02,SCPWSAL,low loyalty points; low average order value; short tenure,11.0,0.0,1407.8,0,0
49,0,2A9B6WC,2,2,1.0,2,2,1,9.0,1311.037703,48732.42,29.0,898.6870218,0,1,1,3,3,1,714,high,high,high,1,value_high;engagement_high;price_sensitive;support_risk,0.9869589937507905,VIP-At-Risk,0.010421886750663013,0.05,2A9B6WC,high loyalty points; high average order value; long tenure,9.0,34794947.879999995,48732.42,2,1
47,0,7VAI1LI,1,2,1.0,2,1,0,12.0,83.61,13041.51,16.0,991.2115956,1,0,1,0,1,1,14,low,medium,high,1,value_low;engagement_medium;price_sensitive;support_risk,0.9869576229330201,VIP-At-Risk,0.9702556072649299,0.99,7VAI1LI,high loyalty points; low average order value; short tenure,12.0,182581.14,13041.51,2,1
24,0,FRIY23J,0,2,0.0,2,1,0,8.0,158.28,22141.1,16.0,612.5,0,1,1,0,7,1,445,medium,high,high,1,value_medium;engagement_high;price_sensitive;support_risk,0.9867610187447315,Standard-At-Risk,0.48562028637219873,0.82,FRIY23J,low loyalty points; low average order value; short tenure,8.0,9852789.5,22141.1,2,1
49,0,8WRAF7N,1,2,1.0,2,3,1,11.0,33.57,21197.76,19.0,624.14,0,1,1,0,1,1,457,medium,medium,high,1,value_medium;engagement_medium;price_sensitive;support_risk,0.9867318707681879,Standard-At-Risk,0.9608990251325703,0.96,8WRAF7N,low loyalty points; low average order value; short tenure,11.0,9687376.319999998,21197.76,2,1
